名称,评分,种类,地区,链接,海报
新世纪福音战士剧场版：Air/真心为你,9.4,剧情,日本,https://movie.douban.com/subject/1308892/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p453716993.jpg
夏目友人帐 第六季 特别篇 铃响的残株,9.4,剧情,日本,https://movie.douban.com/subject/27121232/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2497232204.jpg
北国之恋：1995秘密,9.4,剧情,日本,https://movie.douban.com/subject/2025130/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2508557411.jpg
北国之恋：1992自立,9.4,剧情,日本,https://movie.douban.com/subject/2025124/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2508557701.jpg
北国之恋：2002遗言,9.4,剧情,日本,https://movie.douban.com/subject/2025137/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2508558327.jpg
北国之恋：1998时代,9.4,剧情,日本,https://movie.douban.com/subject/2025138/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2323647341.jpg
转世熏风,9.4,剧情,日本,https://movie.douban.com/subject/25745644/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2317900073.jpg
千与千寻,9.3,剧情,日本,https://movie.douban.com/subject/1291561/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1606727862.jpg
回忆积木小屋,9.3,剧情,日本,https://movie.douban.com/subject/3560787/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2205961264.jpg
福音战士新剧场版：破,9.3,剧情,日本,https://movie.douban.com/subject/2567646/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1026522114.jpg
银魂完结篇：直到永远的万事屋,9.3,剧情,日本,https://movie.douban.com/subject/11615927/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2258024316.jpg
夏目友人帐 五 特别篇：一夜酒杯,9.3,剧情,日本,https://movie.douban.com/subject/27011740/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2454093081.jpg
新世纪福音战士剧场版：复兴,9.3,剧情,日本,https://movie.douban.com/subject/20458867/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2227584460.jpg
剧场版 吹响吧！上低音号2～想要传达的旋律～,9.3,剧情,日本,https://movie.douban.com/subject/26994755/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2499628260.jpg
北国之恋：1983冬天,9.3,剧情,日本,https://movie.douban.com/subject/3794145/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2472822148.jpg
宇宙兄弟#0,9.3,剧情,日本,https://movie.douban.com/subject/25792658/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2192962095.jpg
